denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Calabria	60	13	73	91	164	40	2	3	169	2342	
Calabria	71	16	87	114	201	38	2	4	207	2690	
Calabria	73	16	89	136	225	28	5	5	235	3050	
Calabria	77	17	94	166	260	38	5	8	273	3666	
Calabria	82	20	102	178	280	19	5	7	292	4073	
Calabria	88	21	109	195	304	27	5	10	319	4486	
Calabria	93	23	116	217	333	32	7	11	351	5058	
Calabria	101	23	124	248	372	42	7	14	393	5933	
Calabria	103	22	125	344	469	101	7	18	494	6901	
Calabria	107	22	129	394	523	61	11	21	555	7760	
Calabria	124	19	143	434	577	59	12	25	614	8485	
Calabria	130	18	148	454	602	33	14	31	647	9013	
Calabria	132	17	149	457	606	12	17	36	659	9327	
Calabria	144	16	160	450	610	10	21	38	669	9983	
Calabria	163	19	182	445	627	22	23	41	691	10679	
Calabria	183	17	200	462	662	42	26	45	733	11608	
Calabria	178	15	193	469	662	8	30	49	741	12314	
Calabria	174	13	187	519	706	54	33	56	795	13077	
Calabria	170	14	184	538	722	22	37	58	817	13633	
Calabria	169	14	183	550	733	16	40	60	833	14072	
Calabria	170	15	185	570	755	26	44	60	859	14977	
Calabria	168	15	183	582	765	15	48	61	874	15698	
Calabria	168	14	182	604	786	27	50	65	901	16637	
Calabria	169	15	184	608	792	14	57	66	915	17493	
Calabria	165	14	179	616	795	8	62	66	923	18211	
Calabria	160	12	172	619	791	5	70	67	928	18596	
Calabria	161	12	173	643	816	28	72	68	956	19014	
Calabria	156	11	167	652	819	15	81	71	971	19662	
Calabria	157	9	166	681	847	38	90	72	1009	20642	
Calabria	154	7	161	658	819	-18	99	73	991	21657	
Calabria	152	7	159	673	832	20	106	73	1011	22794	
Calabria	142	6	148	696	844	24	116	75	1035	23760	22234
Calabria	140	7	147	681	828	3	135	75	1038	24373	22847
Calabria	133	7	140	679	819	9	152	76	1047	25440	23914
Calabria	128	7	135	686	821	13	163	76	1060	26560	24878
Calabria	129	7	136	687	823	9	170	76	1069	27869	26187
Calabria	123	7	130	691	821	10	178	80	1079	28764	26811
Calabria	125	7	132	679	811	9	197	80	1088	29959	28006
Calabria	118	8	126	671	797	1	212	80	1089	30853	28900
Campania	0	0	0	0	0	0	0	0	0	10	
Campania	0	0	0	0	0	0	0	0	0	10	
Campania	0	0	0	0	0	0	0	0	0	10	
Campania	2	0	2	1	3	3	0	0	3	10	
Campania	2	0	2	2	4	1	0	0	4	213	
Campania	3	0	3	10	13	9	0	0	13	373	
Campania	4	0	4	13	17	4	0	0	17	373	
Campania	4	0	4	13	17	0	0	0	17	373	
Campania	11	0	11	19	30	13	0	0	30	405	
Campania	11	0	11	20	31	1	0	0	31	429	
Campania	12	0	12	33	45	14	0	0	45	471	
Campania	12	0	12	45	57	12	0	0	57	471	
Campania	16	0	16	45	61	4	0	0	61	612	
Campania	30	7	37	63	100	40	1	0	101	980	
Campania	42	8	50	69	119	19	1	0	120	980	
Campania	33	8	41	85	126	7	1	0	127	1141	
Campania	56	11	67	82	149	27	4	1	154	1375	
Campania	56	11	67	107	174	25	4	1	179	1551	
Campania	60	19	79	134	213	41	5	2	220	1671	
Campania	72	17	89	154	243	52	23	6	272	1936	
Campania	73	22	95	201	296	61	28	9	333	2213	
Campania	103	22	125	238	363	67	28	9	400	2517	
Campania	127	24	151	272	423	60	28	9	460	2685	
Campania	127	24	151	272	423	0	28	9	460	2685	
Campania	213	36	249	356	605	192	30	17	652	3544	
Campania	130	41	171	531	702	97	30	17	749	3845	
Campania	233	87	320	473	793	95	29	22	844	4448	
Campania	243	99	342	524	866	92	41	29	936	4943	
Campania	266	110	376	553	929	90	48	49	1026	5813	
Campania	345	181	526	466	992	75	53	56	1101	6297	
Campania	318	123	441	631	1072	98	53	74	1199	6972	
Campania	448	114	562	607	1169	111	58	83	1310	8346	
Campania	456	113	569	723	1292	144	64	98	1454	9613	
Campania	463	132	595	812	1407	138	76	109	1592	10616	
Campania	476	135	611	945	1556	167	86	117	1759	11805	
Campania	468	126	594	1145	1739	193	88	125	1952	12969	
Campania	501	133	634	1237	1871	140	88	133	2092	14403	
Campania	478	129	607	1369	1976	139	107	148	2231	15728	
Campania	503	120	623	1517	2140	225	149	167	2456	17404	
Campania	532	115	647	1705	2352	221	144	181	2677	19237	
Campania	567	114	681	1815	2496	151	146	186	2828	21534	
Campania	609	108	717	1904	2621	132	150	189	2960	23139	
Campania	610	101	711	1987	2698	98	156	204	3058	24526	
Campania	603	103	706	2059	2765	90	167	216	3148	25779	
Campania	608	97	705	2154	2859	120	188	221	3268	27784	
Campania	604	94	698	2175	2873	76	244	227	3344	29664	
Campania	600	90	690	2273	2963	98	248	231	3442	31745	
Campania	582	85	667	2335	3002	75	277	238	3517	33781	
Campania	526	82	608	2449	3057	87	305	242	3604	35448	
