denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw
Abruzzo	617	76	693	12027	12720	535	37917	1662	52299	953486
Abruzzo	609	78	687	11948	12635	653	38638	1678	52951	967052
Abruzzo	614	74	688	12043	12731	594	39125	1689	53545	975981
Abruzzo	611	77	688	12035	12723	355	39479	1698	53900	984691
Abruzzo	622	82	704	12540	13244	568	39523	1701	54468	1002799
Abruzzo	633	81	714	12397	13111	199	39844	1709	54664	1012623
Abruzzo	634	85	719	12336	13055	246	40135	1720	54910	1018678
Abruzzo	638	82	720	12320	13040	573	40708	1731	55479	1027262
Abruzzo	651	85	736	12343	13079	552	41194	1758	56031	1035556
Abruzzo	657	87	744	12372	13116	473	41621	1766	56503	1050587
Abruzzo	631	86	717	12390	13107	442	42046	1791	56944	1057893
Abruzzo	643	84	727	12838	13565	553	42131	1801	57497	1068599
Abruzzo	665	84	749	12695	13444	273	42510	1813	57767	1076297
Abruzzo	672	87	759	12566	13325	187	42804	1825	57954	1082318
Abruzzo	669	87	756	12477	13233	372	43255	1835	58323	1093461
Abruzzo	661	91	752	12146	12898	608	44161	1872	58931	1105217
Abruzzo	652	92	744	12166	12910	515	44653	1883	59446	1112423
Abruzzo	649	94	743	11893	12636	320	45235	1894	59765	1119402
Abruzzo	673	93	766	12074	12840	323	45347	1901	60088	1128280
Abruzzo	685	87	772	12034	12806	329	45699	1911	60416	1136202
Abruzzo	675	87	762	11610	12372	212	46330	1924	60626	1142531
Abruzzo	667	89	756	10922	11678	304	47316	1934	60928	1151007
Abruzzo	667	89	756	10346	11102	462	48342	1943	61387	1161077
Abruzzo	672	88	760	10203	10963	417	48868	1972	61803	1167634
Abruzzo	668	83	751	10122	10873	370	49292	2007	62172	1173952
Abruzzo	671	85	756	10426	11182	353	49327	2016	62525	1181856
Abruzzo	670	89	759	10309	11068	190	49623	2023	62714	1186010
Abruzzo	657	87	744	10151	10895	188	49966	2041	62902	1191532
Abruzzo	635	82	717	9934	10651	329	50528	2052	63231	1201419
Abruzzo	621	79	700	9787	10487	310	50987	2067	63541	1210893
Abruzzo	615	85	700	9750	10450	392	51411	2072	63933	1217120
Abruzzo	623	83	706	9707	10413	348	51794	2074	64281	1223572
Abruzzo	613	77	690	9976	10666	269	51801	2083	64550	1228779
Abruzzo	620	78	698	9864	10562	224	52112	2100	64774	1232453
Abruzzo	622	69	691	9569	10260	153	52539	2125	64924	1238648
Abruzzo	607	68	675	9457	10132	314	52969	2136	65237	1245216
Abruzzo	606	69	675	9466	10141	272	53222	2145	65508	1250212
Abruzzo	577	69	646	9694	10340	424	53440	2151	65931	1257775
Abruzzo	573	71	644	9655	10299	225	53691	2166	66156	1264278
Abruzzo	585	69	654	10074	10728	438	53697	2169	66594	1270263
Abruzzo	596	70	666	10050	10716	19	53724	2173	66613	1270606
Abruzzo	603	70	673	9898	10571	47	53902	2187	66660	1272084
Abruzzo	592	72	664	9733	10397	219	54281	2200	66878	1280660
Abruzzo	585	71	656	9631	10287	277	54656	2212	67155	1286718
Abruzzo	571	68	639	9564	10203	351	55076	2227	67506	1293696
Abruzzo	557	67	624	9602	10226	238	55277	2240	67743	1299635
Abruzzo	557	65	622	9838	10460	259	55299	2243	68002	1305527
Abruzzo	569	64	633	9777	10410	90	55433	2248	68091	1308428
Abruzzo	553	59	612	9649	10261	174	55735	2269	68265	1313653
Abruzzo	557	58	615	9651	10266	264	55968	2293	68527	1322258
Abruzzo	537	56	593	9639	10232	215	56211	2298	68741	1329256
Abruzzo	525	57	582	9314	9896	210	56737	2315	68948	1336196
Abruzzo	515	54	569	9302	9871	180	56926	2329	69126	1342593
Abruzzo	506	56	562	9538	10100	258	56951	2333	69384	1348869
Abruzzo	514	52	566	9192	9758	97	57385	2337	69480	1351871
Abruzzo	494	51	545	8960	9505	170	57800	2345	69650	1357330
Abruzzo	474	50	524	8990	9514	163	57951	2347	69812	1364874
Abruzzo	466	46	512	8908	9420	233	58270	2355	70045	1371971
Abruzzo	459	45	504	8732	9236	158	58607	2360	70203	1378879
Abruzzo	448	43	491	8519	9010	137	58961	2369	70340	1386637
Abruzzo	432	44	476	8669	9145	179	58998	2376	70519	1393333
Abruzzo	419	44	463	8594	9057	97	59181	2377	70615	1396909
Abruzzo	400	45	445	8169	8614	81	59697	2385	70696	1403606
Abruzzo	389	42	431	8125	8556	177	59926	2391	70873	1411296
Abruzzo	382	39	421	8130	8551	195	60119	2397	71067	1418219
Abruzzo	374	36	410	7973	8383	151	60432	2403	71218	1424564
Abruzzo	348	32	380	8199	8579	226	60457	2408	71444	1432454
Abruzzo	355	31	386	8347	8733	159	60458	2412	71603	1436150
Abruzzo	360	34	394	8218	8612	37	60613	2415	71640	1438203
Abruzzo	349	26	375	7991	8366	85	60938	2420	71724	1443921
Abruzzo	335	30	365	7796	8161	192	61333	2422	71916	1450557
Abruzzo	320	29	349	7813	8162	174	61506	2422	72090	1456847
Abruzzo	307	27	334	7577	7911	196	61947	2428	72286	1463948
Abruzzo	281	28	309	7513	7822	85	62115	2434	72371	1470943
